,Churn
5634,Yes
6920,No
6645,Yes
1999,Yes
3921,No
575,No
1301,No
3060,No
3800,No
2672,Yes
6169,No
3200,No
6489,Yes
5340,No
628,Yes
2935,Yes
5131,No
3683,Yes
6915,Yes
4313,No
2461,No
4462,No
1019,No
2813,Yes
926,No
6978,No
3345,Yes
4224,No
1110,No
6815,No
5981,No
1279,No
2573,Yes
5086,No
5789,Yes
595,No
4555,Yes
2317,No
4832,No
3750,Yes
4779,No
4640,No
6710,No
6665,No
2860,No
2767,No
6009,No
1062,Yes
397,Yes
5138,No
5135,No
2099,Yes
1889,No
744,No
3493,Yes
1235,No
6938,No
205,No
99,Yes
1606,No
1228,Yes
322,No
4406,No
765,No
1957,No
1121,Yes
5265,No
4685,No
1693,No
5400,Yes
6743,No
5737,Yes
2662,No
1174,Yes
2609,Yes
6632,Yes
3852,No
5486,Yes
6627,No
2658,No
5455,No
2311,No
480,No
5118,No
6092,No
1493,Yes
6393,No
6056,No
2352,No
2788,No
6145,No
5812,No
5663,No
5109,No
421,No
2659,No
2391,No
4420,Yes
6646,No
5541,No
2121,No
3551,No
2855,No
1647,No
77,No
93,No
6410,No
2732,No
5232,No
2556,No
2094,No
6331,No
7026,No
4015,No
5794,Yes
3879,No
408,Yes
5861,Yes
2589,No
772,Yes
4014,Yes
990,No
5192,No
6655,No
19,No
62,No
5629,Yes
2664,Yes
5718,No
1902,No
6238,No
6284,No
3129,No
381,Yes
4689,No
5206,Yes
770,Yes
5591,Yes
6574,No
929,No
1093,Yes
1475,No
5492,No
5744,No
1098,Yes
5342,Yes
3262,No
6848,No
1612,No
3225,No
5432,Yes
1231,No
5158,No
1712,No
5825,No
4655,Yes
3802,No
4889,No
3339,No
3256,No
409,Yes
992,Yes
6349,No
2407,Yes
5173,No
1766,Yes
1856,Yes
2742,No
6824,No
2054,No
6012,No
6481,No
378,No
4321,No
4587,No
2009,No
1893,Yes
5222,Yes
3597,Yes
5705,Yes
6356,Yes
6140,No
1565,No
5590,Yes
54,No
5850,No
166,Yes
6136,No
2388,Yes
5928,Yes
5693,Yes
462,Yes
3241,Yes
2344,No
6918,No
5028,Yes
2172,No
3943,Yes
5893,No
4712,No
508,No
512,No
4691,No
3925,Yes
1319,No
2783,No
2925,No
4158,No
6576,No
633,No
2325,No
3075,No
4038,Yes
248,Yes
1963,No
2272,Yes
422,No
3015,No
7029,No
6006,No
1890,No
5353,No
5213,No
1911,Yes
1368,No
5467,Yes
5509,Yes
1439,No
1832,Yes
1931,No
5975,Yes
2845,No
3973,Yes
2430,No
5680,No
2553,No
6460,No
2189,Yes
3096,No
5323,No
2599,No
1739,No
6880,No
5338,No
1915,No
598,No
3055,No
1959,No
1103,No
6781,Yes
556,No
1898,No
5795,No
5187,No
12,No
5068,Yes
2528,No
6065,Yes
2736,Yes
2955,Yes
1102,No
6377,No
2213,No
3536,No
6683,No
4674,Yes
6269,No
275,Yes
4852,No
3583,No
6661,No
3215,No
3446,No
5770,Yes
4814,No
2587,No
4996,No
4416,Yes
1491,No
974,No
2448,No
3034,No
296,No
1923,Yes
6400,No
6371,No
6701,No
3770,No
1575,No
6013,No
4082,Yes
3778,Yes
636,No
2992,Yes
6515,Yes
6191,No
6203,No
1244,Yes
4434,Yes
6890,No
3315,No
1164,No
2762,No
873,No
1005,Yes
1922,Yes
489,No
637,Yes
6464,Yes
3871,No
1025,Yes
5639,No
287,Yes
6337,Yes
4608,No
2796,No
4100,No
3674,Yes
6893,No
16,No
6122,Yes
3842,Yes
6382,No
3232,No
1553,Yes
2629,Yes
4496,No
3249,No
4067,Yes
268,Yes
2264,Yes
7001,No
4320,No
5341,No
6923,No
2471,No
3261,No
6252,No
5811,No
1459,No
2477,No
5283,No
3660,Yes
2105,No
2067,No
3122,Yes
4132,No
860,Yes
301,Yes
1972,No
6611,Yes
255,No
335,Yes
6811,Yes
1307,No
283,No
2005,Yes
1094,No
916,No
3336,No
1970,No
3121,No
6244,No
1443,No
3283,No
4749,Yes
6588,Yes
557,No
5907,No
864,No
713,No
6569,No
6634,No
664,No
5600,Yes
2823,No
3003,No
6733,No
4130,No
6046,No
80,Yes
2938,No
4524,Yes
1031,No
6411,No
5072,No
6866,Yes
4360,No
870,No
2774,Yes
1757,No
5163,No
787,No
5422,No
5805,No
3548,No
3478,No
6323,No
6405,No
4086,No
371,Yes
2184,No
2064,Yes
1108,No
900,Yes
5479,No
3808,No
5847,No
3048,No
4335,No
5573,No
1287,Yes
4948,Yes
3007,No
2098,No
6580,No
1229,No
3854,No
3576,No
2128,Yes
2046,No
3043,No
1089,No
124,No
952,Yes
5108,Yes
1400,Yes
288,Yes
2769,No
667,Yes
3963,No
1387,No
4726,Yes
2566,No
261,Yes
5529,Yes
3794,No
501,No
4707,No
2702,Yes
4864,No
3036,No
6775,Yes
2110,No
5931,No
6981,No
6154,No
4868,Yes
705,No
6524,No
4472,Yes
3158,No
6528,Yes
3729,No
4586,Yes
499,No
3734,No
5866,No
3247,No
3037,Yes
5277,Yes
6174,No
613,No
3449,Yes
4081,Yes
6131,No
3032,No
3097,Yes
4966,Yes
6327,No
6426,No
855,Yes
5441,Yes
5434,No
5246,No
1894,No
1365,No
412,No
6894,No
1952,No
319,No
4298,No
5469,No
2396,No
740,No
656,No
4144,No
3692,No
5452,No
3919,No
5760,No
3787,No
2904,No
4621,No
6048,No
5902,No
5335,No
949,No
6255,No
1965,Yes
5594,Yes
2349,No
4790,No
4248,Yes
224,No
5824,No
2243,No
4179,No
5497,No
1215,No
4647,No
1051,Yes
4392,No
6296,Yes
4614,No
3563,No
3894,No
4563,No
2574,No
2882,Yes
3138,No
737,No
1435,No
2484,No
4619,No
2903,Yes
3052,No
6967,No
2766,No
2373,Yes
1134,No
839,No
2421,No
1133,No
4218,No
2940,No
2688,No
4185,No
4623,Yes
26,Yes
6002,No
3259,No
4923,No
4730,Yes
6096,Yes
5730,No
3099,No
354,Yes
2348,No
2720,No
1165,No
3369,No
4140,No
5278,No
1010,No
2885,Yes
4830,No
4109,No
5921,No
1509,No
4315,No
3540,No
3244,No
6469,No
4124,Yes
4722,No
4544,No
6582,Yes
406,No
4388,Yes
1518,No
5955,No
2219,Yes
1551,Yes
4366,No
1706,No
1482,No
1456,No
4051,Yes
3164,No
5227,No
4626,No
5895,No
1264,Yes
1026,Yes
4408,No
638,Yes
6563,No
1113,No
1752,No
643,No
3326,Yes
2435,No
1534,No
4506,No
5876,No
4967,No
6057,Yes
1870,No
2717,No
3685,No
1159,Yes
3207,No
5603,No
1349,Yes
5753,No
4550,Yes
3893,No
5458,No
2703,Yes
5651,No
2215,No
246,No
921,No
4955,No
6714,Yes
1979,Yes
4718,No
3460,No
4930,Yes
2307,No
3695,No
6325,No
3293,No
3367,Yes
6159,Yes
4723,No
6944,No
3613,No
4850,No
1237,No
3029,Yes
2934,Yes
2206,No
6972,No
3275,No
6892,No
3087,Yes
2411,No
4527,Yes
1826,No
1961,No
5740,No
3197,No
6448,No
3831,No
5324,Yes
988,No
612,No
1607,Yes
6293,Yes
5493,Yes
2153,No
1785,Yes
6362,No
6388,No
474,Yes
2087,No
505,No
2829,No
468,No
20,Yes
5516,No
4273,No
5284,No
1526,No
1533,Yes
6854,No
6471,No
4934,Yes
1897,No
1720,No
5314,No
7011,No
578,No
5971,No
1343,Yes
2052,Yes
722,Yes
2531,Yes
15,No
3975,No
6936,No
1763,No
4204,Yes
411,No
4902,Yes
2928,No
2415,No
584,Yes
2269,Yes
5712,No
4982,No
4090,No
2841,No
5735,No
1620,Yes
1955,No
5613,Yes
6652,No
3434,No
5230,No
6138,No
1118,Yes
5736,No
1980,Yes
467,No
4203,No
6224,No
4906,No
2059,No
567,Yes
4049,Yes
4419,No
1657,Yes
4856,No
4961,No
5132,No
3782,Yes
299,Yes
5381,Yes
4928,No
4953,No
5678,No
3972,No
3383,No
5620,Yes
4835,No
2212,No
2077,No
6855,Yes
1953,No
4719,No
4412,No
6229,No
278,No
509,No
6983,No
6543,Yes
6151,No
1022,No
6635,No
1211,Yes
5146,Yes
131,Yes
2107,No
4651,No
589,No
2002,Yes
2636,No
704,Yes
1337,No
965,No
4441,No
2533,No
5998,No
435,No
2030,No
4027,No
972,Yes
1095,No
6965,No
5142,No
84,No
5954,No
623,Yes
6930,No
1430,No
393,No
4742,No
2923,No
25,No
6301,No
420,No
2834,No
3861,Yes
4343,No
6398,No
4965,No
3781,No
2756,Yes
758,No
1985,Yes
6498,Yes
5423,Yes
961,Yes
3653,No
5165,No
4929,No
2326,No
6997,Yes
4503,No
5285,No
3448,No
2377,No
1903,No
4875,Yes
812,No
5644,Yes
997,Yes
3833,No
2395,No
4584,No
6835,Yes
6365,No
3652,No
3924,No
6813,Yes
7018,No
7015,Yes
5180,No
1556,Yes
5555,No
2017,No
6261,No
3171,No
2370,No
1367,No
2980,No
3240,Yes
107,No
6153,No
693,No
2694,No
4370,No
6005,No
602,No
1273,No
5496,No
116,No
3278,No
2683,Yes
6932,Yes
5551,No
3388,No
3922,No
3716,No
4263,No
4969,No
6913,Yes
3745,No
3390,No
6532,No
3603,No
5116,No
6987,No
1193,No
5399,No
2020,No
1995,No
5625,Yes
583,No
6364,No
976,No
4547,No
2948,Yes
1305,Yes
1838,No
1009,No
1874,Yes
3710,Yes
1943,Yes
2376,No
3509,No
3728,No
6273,No
3290,No
3736,No
160,No
4052,Yes
4951,Yes
3401,No
1811,No
6554,Yes
2024,Yes
1987,No
6788,No
1274,No
2441,Yes
3151,No
920,No
778,No
1128,Yes
6097,Yes
2346,No
3742,No
2679,No
5376,Yes
3935,Yes
1880,No
6177,Yes
3191,No
6856,No
6602,No
361,No
1313,No
4646,No
6609,No
2933,No
416,No
3136,Yes
4431,No
3955,Yes
3517,No
5403,No
432,No
4258,Yes
2585,No
1458,Yes
5262,No
6941,Yes
6453,Yes
1660,No
2787,No
5326,No
4256,No
5035,Yes
6853,Yes
5075,No
1288,No
5727,No
2594,No
2109,No
5717,No
4714,No
767,No
313,No
108,No
736,No
4943,No
735,No
1609,No
5378,No
1194,No
1531,No
1947,No
5152,No
4162,Yes
6316,Yes
3488,Yes
2869,No
941,No
2975,No
4044,No
4338,No
6128,Yes
966,Yes
6093,No
5000,No
4386,No
5088,No
3599,No
2340,No
846,No
574,No
5574,Yes
3397,No
4337,No
2764,Yes
5157,Yes
2634,Yes
5320,Yes
6085,No
2440,No
5395,No
6444,Yes
167,No
3594,Yes
3009,No
45,No
1124,No
793,No
2323,No
6719,No
5532,Yes
276,Yes
3743,Yes
2529,No
2570,No
514,Yes
814,Yes
3428,No
933,No
2540,No
2386,No
4199,No
5548,No
6718,No
6366,Yes
1866,No
3288,No
1072,No
2844,No
5066,No
5927,No
3373,No
4725,No
6160,Yes
1640,Yes
6819,No
887,Yes
782,No
5621,Yes
2485,No
3541,No
783,Yes
4278,No
3327,No
3078,No
640,Yes
4917,No
919,No
3196,No
5178,Yes
3913,No
2155,No
981,No
5002,No
3571,Yes
6373,No
4971,No
4193,No
4748,No
4594,No
6990,Yes
3303,No
286,No
3337,No
1394,No
320,Yes
61,No
2394,No
1940,No
215,No
5750,Yes
2018,Yes
5640,No
132,No
6517,Yes
3257,Yes
2387,No
5200,No
1927,No
2722,Yes
4029,No
6667,No
3724,Yes
1258,No
2785,Yes
2337,No
4676,Yes
3081,No
5886,No
7010,Yes
5303,Yes
2058,No
4182,No
3552,No
4663,Yes
4075,Yes
5564,Yes
1203,No
5024,No
1192,No
3183,Yes
4978,No
2053,No
2367,No
2592,No
654,No
355,Yes
2154,No
2124,Yes
3588,No
5210,No
1522,No
2133,No
2141,No
1812,No
2635,No
4733,No
1344,No
178,No
3005,No
3589,Yes
1986,No
1559,Yes
3744,No
339,Yes
7023,Yes
1262,No
2447,Yes
5297,Yes
1135,No
4427,No
4056,Yes
3511,Yes
785,No
5100,No
6773,No
4426,No
3726,No
4605,Yes
1461,No
4767,Yes
3224,Yes
6307,No
17,No
6146,Yes
6986,No
2354,No
1605,No
3384,No
3809,Yes
2974,No
3028,No
6721,No
3730,No
6228,Yes
1354,Yes
2333,No
6470,Yes
551,No
1182,No
1292,No
6589,No
1326,No
6300,No
2120,No
6873,Yes
3335,No
822,No
4452,No
3057,No
6281,Yes
5853,No
88,No
4567,No
5203,Yes
5879,Yes
3203,No
5858,No
4940,No
1836,No
614,No
5001,No
6043,No
306,Yes
4083,No
5449,Yes
2725,No
6742,No
3236,Yes
4294,No
5287,No
1499,No
5946,No
2835,No
3313,Yes
1207,Yes
1925,No
3231,No
2409,No
6921,No
2122,Yes
1822,No
5569,No
4907,No
3592,No
6886,No
5093,No
5700,No
738,No
4701,No
554,No
5587,No
6021,Yes
6523,No
4499,No
869,No
2322,No
1042,No
125,No
152,No
6749,Yes
5585,No
828,Yes
2378,No
2230,No
3300,No
794,No
2857,Yes
1331,Yes
1920,No
4032,No
3088,No
2527,No
2814,No
3328,Yes
3654,No
4884,No
1012,Yes
2431,No
1412,No
5435,No
6973,No
3513,No
3,No
1969,Yes
2639,Yes
4823,No
71,No
2645,No
238,Yes
5543,No
1176,No
353,Yes
5513,Yes
3587,Yes
5742,No
4522,No
5810,No
4363,No
2892,No
5390,No
4226,No
1715,No
4804,Yes
1206,Yes
2108,No
2160,No
2449,No
5454,Yes
4638,No
579,Yes
1599,No
1372,No
451,No
3792,No
6341,No
5162,No
6612,No
4601,No
2547,No
5916,No
2867,No
5388,Yes
380,No
6732,No
6810,Yes
477,No
4787,Yes
1616,Yes
6473,Yes
5900,No
1727,No
4241,No
6833,No
162,No
6767,No
2846,No
1322,No
2438,No
5440,No
1744,No
4353,No
3753,Yes
1512,No
3194,No
3385,No
1418,Yes
5144,No
6522,No
3651,No
3033,No
2278,Yes
925,Yes
5082,Yes
3701,No
6279,No
2065,Yes
375,No
4528,Yes
209,No
5755,No
6935,No
951,No
1414,No
6285,Yes
3533,Yes
2063,No
6792,No
1611,No
6851,Yes
1886,Yes
1708,No
555,No
2208,No
1704,No
2530,No
3302,No
1466,No
2552,No
1844,Yes
5425,No
3430,No
6785,Yes
5321,Yes
5531,Yes
5568,No
4455,Yes
6623,Yes
1524,No
94,No
5940,No
3152,Yes
6226,Yes
5356,No
5442,No
4020,Yes
1821,No
3590,Yes
3084,No
2669,No
3494,No
6939,No
1868,No
3100,No
5807,No
6747,No
1204,Yes
2622,No
1853,Yes
4665,Yes
2870,Yes
4616,Yes
4628,No
3455,No
1078,No
3805,No
4622,No
3822,Yes
6352,No
2816,Yes
4197,No
3386,No
2973,No
6546,No
4063,No
4410,Yes
3271,Yes
6036,No
2369,No
5580,Yes
4372,No
1210,Yes
2210,No
6290,No
3412,No
3698,No
2060,No
1950,No
3600,No
5245,No
4770,No
2674,Yes
1364,No
5032,No
6321,No
5124,No
4913,No
6994,No
1224,No
6648,No
4946,Yes
5897,Yes
4046,No
4816,No
5559,No
6863,No
2251,No
455,No
340,No
3982,No
5130,No
4994,No
1370,No
6759,No
2770,Yes
1646,Yes
4012,Yes
5949,No
2893,No
3956,No
2693,No
1790,Yes
802,Yes
1436,No
1157,Yes
835,Yes
2466,Yes
6801,No
4812,No
370,No
5997,No
1892,Yes
5017,No
1162,No
3436,No
1728,No
4131,Yes
3270,No
6064,No
6577,No
1257,No
5985,Yes
2517,No
4881,No
6614,Yes
590,No
2726,No
5604,No
3886,No
67,No
6486,Yes
5332,Yes
2079,Yes
1216,No
4365,No
2875,No
1535,No
6023,Yes
5980,Yes
542,Yes
7020,No
5368,No
4536,Yes
585,No
4093,No
4121,Yes
4489,No
2631,No
4771,No
4167,Yes
5386,Yes
1427,No
494,Yes
2334,Yes
4151,No
4997,Yes
3273,No
3490,No
973,Yes
7030,Yes
5759,No
3382,No
3353,No
2233,No
1813,No
6156,No
5137,No
6312,Yes
2754,No
3338,Yes
4141,No
2502,No
3988,Yes
2565,Yes
3355,No
6271,No
5857,No
3983,No
3360,No
1809,No
6087,No
5919,No
533,Yes
2405,No
5784,No
4460,Yes
2385,No
3544,Yes
6026,Yes
6011,No
6591,Yes
5048,No
6237,No
438,No
569,No
709,Yes
3814,No
4390,No
2499,Yes
5039,No
4573,No
4776,No
1281,Yes
2515,No
5691,No
2262,No
5344,No
2534,No
5958,Yes
4537,No
4173,Yes
5815,No
6193,Yes
2579,No
850,No
5260,No
3681,Yes
3870,Yes
5087,No
2245,No
4126,No
3684,Yes
6593,No
6280,Yes
431,No
6914,No
35,No
3413,No
2503,No
4709,No
5012,No
5456,No
1768,No
5221,No
6741,No
1266,No
3221,No
4249,No
4845,No
1678,No
6977,No
3329,No
4033,No
3892,No
1339,No
6397,No
114,No
6298,No
2832,Yes
1753,No
3398,No
4700,No
4079,No
2519,No
2536,No
896,Yes
6406,No
763,No
5627,Yes
2701,Yes
608,Yes
3520,Yes
272,Yes
543,Yes
4774,No
5757,No
5047,No
3679,No
161,Yes
4183,Yes
4356,No
6165,Yes
6805,Yes
3011,Yes
2474,No
2907,No
6276,No
1644,No
1910,No
3895,No
6094,No
2876,No
4305,No
1259,Yes
3132,No
4070,No
2514,No
4827,No
6755,No
3145,No
6737,No
4018,Yes
1733,No
1543,No
1872,No
3437,No
797,Yes
229,No
6760,No
6383,No
146,No
634,Yes
6556,No
5325,Yes
3561,Yes
2489,Yes
98,No
3980,Yes
6633,No
3690,Yes
5542,No
6206,Yes
3472,No
6961,Yes
2837,No
4341,Yes
6098,No
6008,No
4556,Yes
2619,No
6865,No
2260,Yes
6585,No
4542,No
537,No
4037,No
6416,No
6164,No
1395,No
1532,No
1792,No
6502,No
3580,Yes
2772,No
2148,No
1900,No
2498,No
2817,Yes
5064,No
5610,No
459,No
4243,No
2575,No
3795,Yes
6259,No
5852,No
901,No
4062,No
749,No
2357,No
1096,No
4331,No
4148,No
3308,No
5209,No
6378,No
3572,No
4080,No
5942,No
6310,No
3971,No
840,Yes
1152,No
1479,No
3799,Yes
6763,No
5556,Yes
4035,No
3095,No
4625,No
2543,No
1058,No
5309,No
2174,No
4993,Yes
1834,No
21,No
2008,No
3497,No
6117,Yes
548,No
1075,No
6025,No
6952,No
3268,Yes
1623,No
6881,No
5880,No
3577,No
6423,No
6129,No
3480,No
5820,No
2238,No
1423,Yes
5054,Yes
6621,No
3370,No
3022,No
5505,No
1600,No
3102,No
4833,No
5649,No
4297,No
317,Yes
2588,No
6297,No
2896,No
6495,Yes
4606,No
1772,No
1596,No
1451,Yes
1179,No
1517,Yes
497,Yes
3722,No
4422,No
1966,No
2859,No
6033,No
5814,No
6791,No
4782,No
5011,No
5933,Yes
3250,No
5462,No
6478,No
4531,Yes
5060,No
4680,No
5228,No
6942,Yes
5236,No
1737,Yes
483,No
5155,No
4800,No
105,No
5863,Yes
4960,No
6508,No
6850,Yes
3937,No
2479,No
2050,No
318,Yes
5837,No
5777,No
3216,No
2390,No
4865,No
4307,Yes
5025,No
5451,No
1689,Yes
6061,No
3473,Yes
2727,No
2177,No
3575,No
3776,No
2089,No
75,No
1613,Yes
3643,No
1046,Yes
6051,No
2648,No
4277,No
2205,No
739,No
2866,Yes
4585,No
1221,Yes
2075,No
6333,No
5685,No
1850,No
6769,No
6430,No
5207,Yes
6477,Yes
2187,No
4184,No
5049,No
6924,No
816,Yes
112,No
2016,No
6879,No
1175,No
414,No
5655,Yes
2486,No
5855,No
4627,No
1971,Yes
1633,No
4728,No
2434,No
1857,No
4877,No
4703,No
6105,No
6571,No
5608,No
5478,No
1406,No
5499,No
6917,No
5577,No
2617,No
2145,No
1111,No
4669,Yes
5482,No
4973,Yes
495,No
312,No
2025,No
4458,Yes
2232,No
4165,No
1741,No
1598,Yes
2310,No
119,No
3364,No
5443,No
6800,Yes
3665,Yes
4866,Yes
4451,Yes
241,No
1437,No
1642,Yes
5951,No
5379,Yes
4275,No
4299,No
1080,No
2014,Yes
5389,No
6696,No
6823,No
1450,No
1781,Yes
803,No
2993,No
3027,No
3987,Yes
5570,Yes
2404,No
2597,No
1865,No
3767,Yes
5059,No
4624,Yes
4858,No
2544,No
2047,No
1703,Yes
226,No
3389,No
1654,No
6809,No
5352,No
3117,No
3847,No
6682,No
5550,No
6504,No
2416,No
3491,No
6081,No
1585,No
3521,Yes
2611,Yes
1875,Yes
6205,No
2734,No
4074,Yes
4893,Yes
1082,Yes
6553,Yes
8,Yes
2968,Yes
1181,Yes
3878,No
2704,No
3466,No
6949,No
528,No
5313,No
6068,No
5914,No
2682,No
3296,Yes
1460,No
118,No
4371,No
4813,No
43,No
4213,No
389,No
4170,No
6679,No
6889,No
3946,Yes
3867,No
5965,No
1426,No
4098,No
390,No
372,No
5841,Yes
5179,No
6204,No
1964,No
444,No
4470,No
6641,No
3064,No
1748,No
6049,No
1690,No
3829,No
6544,No
1505,No
5485,Yes
1807,No
5149,No
4234,Yes
5525,No
6208,No
804,No
463,Yes
1843,No
4684,No
7007,Yes
2061,No
1218,No
1828,No
1050,Yes
5357,No
2942,No
1350,No
2051,No
6804,No
3555,Yes
3041,No
3422,Yes
6396,No
5348,No
3435,No
111,No
2292,Yes
4291,No
1043,No
3573,No
4941,Yes
3772,No
2908,No
1469,No
4,Yes
2997,No
962,Yes
2642,No
4908,No
2637,Yes
239,No
3990,No
2247,No
4561,Yes
5292,Yes
1929,Yes
6150,No
5037,No
39,Yes
5202,Yes
4215,No
1884,No
2749,No
237,No
6885,Yes
1064,No
3566,No
5835,No
3546,No
6413,No
3110,Yes
1576,No
4387,Yes
1132,No
5483,No
5333,Yes
1300,Yes
5274,No
2759,No
2318,Yes
3741,No
3280,No
829,No
3219,Yes
3578,No
5241,No
2039,No
662,No
3525,No
806,Yes
193,No
228,No
757,No
3368,Yes
3018,No
6010,No
4269,Yes
4233,Yes
7003,No
4272,No
2621,No
1241,No
5990,No
5282,No
4054,No
3177,No
5869,No
6157,Yes
430,Yes
3859,No
5941,No
3112,No
2524,Yes
601,No
5888,No
4540,Yes
4264,No
953,No
3495,No
3321,Yes
1941,No
4461,No
526,No
5930,No
597,No
2055,No
2222,No
1658,Yes
292,No
2797,Yes
5781,No
752,No
6948,No
827,No
1148,No
5890,No
5611,No
482,No
2555,Yes
2518,No
6505,No
345,No
2898,No
4176,No
6676,No
5300,No
875,No
5560,Yes
4976,No
58,No
448,No
6183,No
3178,Yes
4886,No
1219,Yes
1686,No
3608,No
6118,No
6969,Yes
1250,No
2899,Yes
1848,Yes
3515,No
144,No
5055,Yes
644,Yes
1360,Yes
1937,No
5293,No
6267,No
2995,Yes
6598,Yes
1201,Yes
1336,Yes
6344,No
3748,No
6581,Yes
5391,No
6604,No
3400,No
4642,No
6324,Yes
4257,No
4323,Yes
6926,No
2302,No
3276,No
4593,No
4405,Yes
5042,Yes
1177,Yes
3633,No
2497,No
233,No
1743,No
5609,No
2951,No
227,Yes
1239,Yes
6292,No
5316,No
4679,Yes
733,No
6249,No
616,No
4894,No
2781,No
671,Yes
630,No
3887,No
1061,No
6355,No
4809,No
2670,No
5512,No
1643,No
4036,No
2180,Yes
473,No
4900,Yes
619,No
44,No
5545,No
3864,Yes
13,Yes
1761,No
6916,No
6179,No
4310,No
37,No
2216,No
593,No
547,No
3255,Yes
4103,No
2627,No
4495,Yes
3556,Yes
862,Yes
3912,Yes
2522,Yes
1303,No
5667,No
6304,Yes
5822,Yes
4206,Yes
3699,No
5288,No
970,Yes
3274,No
3174,No
3585,Yes
3314,Yes
6583,No
4283,Yes
943,No
1432,No
4340,No
4112,No
92,No
5398,No
6484,No
6685,No
4512,Yes
1099,No
440,No
234,No
4023,No
3609,Yes
3605,No
2240,No
6512,No
135,No
4330,No
6677,Yes
2031,No
5947,Yes
987,No
3815,Yes
6754,No
897,No
6822,No
5540,Yes
2414,No
831,No
6123,No
4407,No
3796,No
6343,No
2962,No
5089,No
388,No
2900,No
5801,Yes
4500,No
2101,No
5263,Yes
1717,No
3610,No
4485,No
1946,No
6525,No
5084,No
78,No
5044,No
4505,Yes
877,No
1442,Yes
48,No
3694,Yes
1672,No
2712,No
5296,No
3604,Yes
6784,No
490,No
4189,No
1327,No
718,No
3074,Yes
5185,No
2990,No
4846,No
2551,No
6702,No
4308,Yes
6782,No
1998,Yes
540,No
5256,No
6637,No
3020,No
4423,No
3363,No
2608,Yes
347,No
3994,No
2417,No
4453,No
5799,No
4822,No
6739,No
392,No
5498,No
4516,Yes
3291,No
1511,No
6466,No
2887,No
1328,No
4279,No
4549,No
5864,No
4792,Yes
1136,No
7006,No
307,No
6831,No
5506,No
187,No
6101,No
4375,No
1520,No
6883,Yes
6666,No
4325,No
1013,No
436,No
256,No
3286,No
3939,Yes
544,No
5182,No
3918,No
1196,No
4487,Yes
4255,Yes
6984,No
6658,Yes
3147,No
1579,No
4376,Yes
3243,Yes
2537,No
3916,Yes
2917,Yes
1783,No
225,No
946,No
5234,No
3910,Yes
845,No
5018,No
1323,Yes
6432,No
5196,No
373,No
830,No
279,No
5637,Yes
2806,No
4007,No
1048,No
1130,No
4757,No
2480,Yes
2049,Yes
3025,Yes
6243,No
2465,No
1411,No
6629,No
5912,No
1648,No
6427,No
5963,Yes
5466,Yes
6409,No
3779,Yes
4652,Yes
91,No
2452,No
5733,No
2818,No
5280,No
6192,No
1692,No
1446,No
220,Yes
2043,Yes
6862,No
363,No
6559,No
809,Yes
5008,Yes
2100,Yes
2562,Yes
2001,Yes
6688,No
2332,Yes
1992,No
605,No
6519,No
1619,Yes
2919,Yes
6124,No
6901,No
1041,No
5989,No
4786,No
4841,No
5554,No
2582,No
5885,Yes
3098,Yes
3269,No
1777,No
3432,Yes
5988,No
2918,No
4552,No
2257,Yes
6260,No
6693,Yes
413,No
4510,Yes
366,No
4096,No
2166,No
534,No
4396,No
1800,No
3817,No
863,Yes
1208,No
2358,No
6474,No
6091,Yes
1314,No
3907,No
2330,No
1298,No
7027,No
4956,Yes
6451,Yes
6711,No
6573,No
731,No
68,No
63,No
2327,No
1309,Yes
5583,No
1189,No
1161,No
3046,No
6439,Yes
3957,No
6601,No
1150,No
6958,Yes
6440,No
1506,No
4887,No
536,No
4687,No
4780,No
3617,No
1754,No
4438,Yes
6774,Yes
29,Yes
5704,No
1818,Yes
137,No
6458,No
6372,No
5688,Yes
1723,No
4265,Yes
5999,No
2910,No
3885,No
6433,No
1759,No
4611,Yes
1272,No
2028,Yes
188,No
5878,No
3821,No
639,No
5311,No
1502,No
2780,No
4361,Yes
669,No
6636,No
2810,Yes
4975,Yes
5195,No
6461,No
5974,No
4287,No
3978,No
2023,No
6903,Yes
7009,No
596,No
6037,No
4061,No
1503,No
4011,No
800,No
3341,No
3758,No
6662,No
4120,No
4958,No
1478,No
4653,No
3462,No
231,No
3226,No
109,No
5231,No
3506,No
5156,No
1842,No
3047,No
3170,Yes
6547,No
2345,No
5783,Yes
72,No
4582,No
1333,No
4127,No
3934,No
5433,No
3124,No
5098,No
3298,Yes
4380,No
2029,No
1172,Yes
1027,No
5128,No
6088,No
1015,No
5419,Yes
5790,Yes
4562,No
5711,No
293,No
4735,No
2858,No
2548,No
3059,No
5176,No
6839,No
3788,No
2998,Yes
4895,Yes
3928,No
695,No
1758,No
4117,No
4915,No
1325,No
2711,No
6250,No
6442,No
3860,No
819,No
903,Yes
4734,No
179,No
5459,Yes
5883,No
1127,Yes
253,No
1393,No
174,No
3091,No
1513,No
2267,No
6431,No
906,No
1789,No
3705,No
5126,Yes
285,No
5648,No
70,No
2746,No
5170,No
331,No
3094,No
2242,No
5819,No
6024,Yes
2799,Yes
4838,No
1489,Yes
838,Yes
1873,No
298,No
1275,No
5511,No
3010,No
2916,Yes
2175,No
257,No
1191,No
5418,No
4683,Yes
5598,Yes
6450,No
6361,Yes
3655,No
3195,Yes
415,No
967,Yes
708,No
3305,Yes
89,No
6946,No
2684,No
5642,Yes
1918,No
2864,Yes
